horizon_days,left_edge,right_edge,legacy_mass,control_mass,joint_mass
1.200000000000000000e+02,1.005228289113000574e+04,1.014806693071449445e+04,7.034731540877485022e-08,7.812133189962167418e-08,-8.237614061992717451e-14
1.200000000000000000e+02,1.014806693071449445e+04,1.024385097029898316e+04,8.010270685996396888e-08,8.120733312565368236e-08,1.075715790376969008e-13
1.200000000000000000e+02,1.024385097029898316e+04,1.033963500988347187e+04,1.239780413118630687e-07,1.157611765498603613e-07,7.464898521201904277e-14
1.200000000000000000e+02,1.033963500988347187e+04,1.043541904946796058e+04,1.745837843705595841e-07,1.773495144787930700e-07,-1.355946916602247849e-14
1.200000000000000000e+02,1.043541904946796058e+04,1.053120308905244929e+04,2.585278701459394115e-07,2.514309366159881171e-07,-8.727290772566288889e-14
1.200000000000000000e+02,1.053120308905244929e+04,1.062698712863693800e+04,3.228099991872869386e-07,3.177637436612015220e-07,-2.100337797056611689e-13
1.200000000000000000e+02,1.062698712863693800e+04,1.072277116822142671e+04,3.569005926769565166e-07,3.541400987992768110e-07,2.516272372966457242e-13
1.200000000000000000e+02,1.072277116822142671e+04,1.081855520780591542e+04,3.557162679939455936e-07,3.392587784098939565e-07,1.039093043780302945e-13
1.200000000000000000e+02,1.081855520780591542e+04,1.091433924739040413e+04,2.894607298070077785e-07,2.653685405897005240e-07,8.983661899372713760e-14
1.200000000000000000e+02,1.091433924739040413e+04,1.101012328697489102e+04,1.559920856602560435e-07,1.649311067369183965e-07,-1.732830756133019709e-13
1.200000000000000000e+02,1.101012328697489102e+04,1.110590732655937973e+04,8.709923196409121521e-08,1.067925341678869453e-07,-1.197646291790303340e-13
1.200000000000000000e+02,1.110590732655937973e+04,1.120169136614386844e+04,1.345491037712397765e-07,1.416637790608350539e-07,1.968688627542269276e-14
1.200000000000000000e+02,1.120169136614386844e+04,1.129747540572835715e+04,2.727351812806969065e-07,2.663544801858848724e-07,-1.062258680776397169e-14
1.200000000000000000e+02,1.129747540572835715e+04,1.139325944531284586e+04,4.557684679490659622e-07,4.472581585741453861e-07,2.633826052928725205e-08
1.200000000000000000e+02,1.139325944531284586e+04,1.148904348489733457e+04,6.638174346826518377e-07,6.612184865045319471e-07,8.632349837027680475e-08
1.200000000000000000e+02,1.148904348489733457e+04,1.158482752448182327e+04,9.087010854038138479e-07,9.086171558075237794e-07,2.836151229511503808e-09
1.200000000000000000e+02,1.158482752448182327e+04,1.168061156406631198e+04,1.212586173666369470e-06,1.204560331312073478e-06,-8.008195186896718706e-14
1.200000000000000000e+02,1.168061156406631198e+04,1.177639560365079888e+04,1.561813544148474525e-06,1.575920289397361825e-06,3.850968111517163998e-14
1.200000000000000000e+02,1.177639560365079888e+04,1.187217964323528759e+04,2.043856690013874661e-06,2.053752654864033450e-06,1.011277002082996857e-13
1.200000000000000000e+02,1.187217964323528759e+04,1.196796368281977630e+04,2.638100930338135106e-06,2.641637852541666902e-06,-9.133605992288665797e-14
1.200000000000000000e+02,1.196796368281977630e+04,1.206374772240426501e+04,3.320277956819754966e-06,3.309839793309398147e-06,-1.272087662602351432e-13
1.200000000000000000e+02,1.206374772240426501e+04,1.215953176198875371e+04,4.036618439902970261e-06,4.028717439585120527e-06,-6.295888695826973372e-14
1.200000000000000000e+02,1.215953176198875371e+04,1.225531580157324242e+04,4.791997957722178732e-06,4.804896431995728538e-06,5.694929724036540982e-15
1.200000000000000000e+02,1.225531580157324242e+04,1.235109984115773113e+04,5.667347874184502999e-06,5.669208236626680384e-06,1.601385455876949970e-14
1.200000000000000000e+02,1.235109984115773113e+04,1.244688388074221984e+04,6.642885305582076717e-06,6.640063862885858981e-06,1.041895357072211701e-13
1.200000000000000000e+02,1.244688388074221984e+04,1.254266792032670674e+04,7.728613288399708840e-06,7.732624319174689643e-06,4.184174255564512346e-15
1.200000000000000000e+02,1.254266792032670674e+04,1.263845195991119726e+04,8.965452406924788356e-06,8.976896148159875329e-06,1.096266668091524048e-14
1.200000000000000000e+02,1.263845195991119726e+04,1.273423599949568415e+04,1.038470334544317233e-05,1.040005116444956787e-05,6.418257006938087391e-14
1.200000000000000000e+02,1.273423599949568415e+04,1.283002003908017468e+04,1.199907786066842649e-05,1.199614268351483779e-05,-2.717212248222274840e-13
1.200000000000000000e+02,1.283002003908017468e+04,1.292580407866466157e+04,1.373057676704325500e-05,1.373023771557352428e-05,8.958398552037621455e-14
1.200000000000000000e+02,1.292580407866466157e+04,1.302158811824915210e+04,1.556141543276284535e-05,1.557814724431372559e-05,1.977286538526218594e-13
1.200000000000000000e+02,1.302158811824915210e+04,1.311737215783363899e+04,1.752613944476984299e-05,1.752299640705431765e-05,-8.023296462131989880e-14
1.200000000000000000e+02,1.311737215783363899e+04,1.321315619741812588e+04,1.952179922203925569e-05,1.952985060314702591e-05,4.237598952216890149e-14
1.200000000000000000e+02,1.321315619741812588e+04,1.330894023700261641e+04,2.156689595952596467e-05,2.156468583757321488e-05,-1.426933896099345144e-14
1.800000000000000000e+02,1.822329143394095354e+03,1.918507625962116890e+03,0.000000000000000000e+00,2.909434213620948780e-11,6.517004513306849033e-13
1.800000000000000000e+02,1.918507625962116890e+03,2.014686108530138654e+03,1.368654711030929281e-17,1.232231763889324982e-11,-1.182706075364813380e-14
1.800000000000000000e+02,2.014686108530138654e+03,2.110864591098160417e+03,1.765763474111784097e-18,1.063393296041489073e-11,-1.959723440441264598e-13
