horizon_days,left_edge,right_edge,probability_mass
6.000000000000000000e+01,5.527669837623991953e+03,5.623061051897248035e+03,5.501970835365019991e-02
6.000000000000000000e+01,5.623061051897248035e+03,5.718452266170505027e+03,6.438481757806634176e-02
6.000000000000000000e+01,5.718452266170505027e+03,5.813843480443762019e+03,7.205070274392381957e-02
6.000000000000000000e+01,5.813843480443762019e+03,5.909234694717019011e+03,7.702302420522019744e-02
6.000000000000000000e+01,5.909234694717019011e+03,6.004625908990276002e+03,7.871545315236301577e-02
6.000000000000000000e+01,6.004625908990276002e+03,6.100017123263532994e+03,7.717520046165383951e-02
6.000000000000000000e+01,6.100017123263532994e+03,6.195408337536789986e+03,7.298306661915344995e-02
6.000000000000000000e+01,6.195408337536789986e+03,6.290799551810046978e+03,6.677501593393458945e-02
6.000000000000000000e+01,6.290799551810046978e+03,6.386190766083303970e+03,5.914907388998943971e-02
6.000000000000000000e+01,6.386190766083303970e+03,6.481581980356560962e+03,5.075263844247934752e-02
6.000000000000000000e+01,6.481581980356560962e+03,6.576973194629817954e+03,4.227765931155018364e-02
6.000000000000000000e+01,6.576973194629817954e+03,6.672364408903074946e+03,3.427470519928210724e-02
6.000000000000000000e+01,6.672364408903074946e+03,6.767755623176331937e+03,2.702596032761097125e-02
6.000000000000000000e+01,6.767755623176331937e+03,6.863146837449588929e+03,2.063664048219099323e-02
6.000000000000000000e+01,6.863146837449588929e+03,6.958538051722845921e+03,1.523722781080616082e-02
6.000000000000000000e+01,6.958538051722845921e+03,7.053929265996102913e+03,1.094163629800824940e-02
6.000000000000000000e+01,7.053929265996102913e+03,7.149320480269359905e+03,7.725440020597987810e-03
6.000000000000000000e+01,7.149320480269359905e+03,7.244711694542616897e+03,5.407078390116033285e-03
6.000000000000000000e+01,7.244711694542616897e+03,7.340102908815873889e+03,3.672809453669365932e-03
6.000000000000000000e+01,7.340102908815873889e+03,7.435494123089129062e+03,2.369727681680519182e-03
6.000000000000000000e+01,7.435494123089129062e+03,7.530885337362386053e+03,1.425356891884486422e-03
6.000000000000000000e+01,7.530885337362386053e+03,7.626276551635643045e+03,7.768484527136313529e-04
6.000000000000000000e+01,7.626276551635643045e+03,7.721667765908900037e+03,3.648338578335512720e-04
6.000000000000000000e+01,7.721667765908900037e+03,7.817058980182157029e+03,1.330579542372556563e-04
6.000000000000000000e+01,7.817058980182157029e+03,7.912450194455414021e+03,2.833196018051743542e-05
6.000000000000000000e+01,7.912450194455414021e+03,8.007841408728671013e+03,1.275808743228232086e-17
6.000000000000000000e+01,8.007841408728671013e+03,8.103232623001928005e+03,4.401330352195851843e-18
6.000000000000000000e+01,8.103232623001928005e+03,8.198623837275184997e+03,1.303070561725208459e-05
6.000000000000000000e+01,8.198623837275184997e+03,8.294015051548441988e+03,3.192103626333773212e-05
6.000000000000000000e+01,8.294015051548441988e+03,8.389406265821698980e+03,5.138975132753013063e-05
6.000000000000000000e+01,8.389406265821698980e+03,8.484797480094955972e+03,6.768741705208025270e-05
6.000000000000000000e+01,8.484797480094955972e+03,8.580188694368212964e+03,7.859047955662935641e-05
6.000000000000000000e+01,8.580188694368212964e+03,8.675579908641469956e+03,8.321937812591797786e-05
6.000000000000000000e+01,8.675579908641469956e+03,8.770971122914726948e+03,8.157372405054514643e-05
6.000000000000000000e+01,8.770971122914726948e+03,8.866362337187983940e+03,7.440811229114926225e-05
6.000000000000000000e+01,8.866362337187983940e+03,8.961753551461240932e+03,6.324259461307717546e-05
6.000000000000000000e+01,8.961753551461240932e+03,9.057144765734497923e+03,4.958101436529536256e-05
6.000000000000000000e+01,9.057144765734497923e+03,9.152535980007754915e+03,3.521964175448070934e-05
6.000000000000000000e+01,9.152535980007754915e+03,9.247927194281011907e+03,2.206481405900541034e-05
6.000000000000000000e+01,9.247927194281011907e+03,9.343318408554268899e+03,1.152824350362361525e-05
6.000000000000000000e+01,9.343318408554268899e+03,9.438709622827524072e+03,4.479898957059627316e-06
6.000000000000000000e+01,9.438709622827524072e+03,9.534100837100781064e+03,8.491332306708246813e-07
6.000000000000000000e+01,9.534100837100781064e+03,9.629492051374038056e+03,3.878759356441111313e-18
6.000000000000000000e+01,9.629492051374038056e+03,9.724883265647295048e+03,3.229641719655583371e-18
6.000000000000000000e+01,9.724883265647295048e+03,9.820274479920552039e+03,1.079339272977472456e-18
6.000000000000000000e+01,9.820274479920552039e+03,9.915665694193809031e+03,0.000000000000000000e+00
6.000000000000000000e+01,9.915665694193809031e+03,1.001105690846706602e+04,1.201966734519925051e-18
6.000000000000000000e+01,1.001105690846706602e+04,1.010644812274032302e+04,1.718707811538526748e-18
6.000000000000000000e+01,1.010644812274032302e+04,1.020183933701358001e+04,3.969497510679803866e-18
6.000000000000000000e+01,1.020183933701358001e+04,1.029723055128683700e+04,1.790557207623096101e-19
6.000000000000000000e+01,1.029723055128683700e+04,1.039262176556009399e+04,8.950690658541305872e-20
6.000000000000000000e+01,1.039262176556009399e+04,1.048801297983335098e+04,1.050133119156623882e-18
6.000000000000000000e+01,1.048801297983335098e+04,1.058340419410660797e+04,6.600403125882012513e-19
6.000000000000000000e+01,1.058340419410660797e+04,1.067879540837986497e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.067879540837986497e+04,1.077418662265312196e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.077418662265312196e+04,1.086957783692637895e+04,2.758508494954825336e-19
6.000000000000000000e+01,1.086957783692637895e+04,1.096496905119963594e+04,1.982941912386572973e-19
6.000000000000000000e+01,1.096496905119963594e+04,1.106036026547289111e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.106036026547289111e+04,1.115575147974614811e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.115575147974614811e+04,1.125114269401940510e+04,9.419741026652787394e-19
6.000000000000000000e+01,1.125114269401940510e+04,1.134653390829266209e+04,1.301518453885662728e-19
6.000000000000000000e+01,1.134653390829266209e+04,1.144192512256591908e+04,2.373236048238833727e-19
6.000000000000000000e+01,1.144192512256591908e+04,1.153731633683917607e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.153731633683917607e+04,1.163270755111243307e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.163270755111243307e+04,1.172809876538569006e+04,3.084211241881046570e-19
6.000000000000000000e+01,1.172809876538569006e+04,1.182348997965894705e+04,8.851911169252931675e-20
6.000000000000000000e+01,1.182348997965894705e+04,1.191888119393220404e+04,1.689484760791583167e-18
6.000000000000000000e+01,1.191888119393220404e+04,1.201427240820546103e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.201427240820546103e+04,1.210966362247871803e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.210966362247871803e+04,1.220505483675197502e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.220505483675197502e+04,1.230044605102523201e+04,2.632795324756560427e-19
6.000000000000000000e+01,1.230044605102523201e+04,1.239583726529848900e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.239583726529848900e+04,1.249122847957174599e+04,0.000000000000000000e+00
